Anteil Ausländer/-innen 2025
"Regionalschlüssel";"Gemeinde";"in %"
"08127025";"Gaildorf, Stadt";"20,5"
"08335026";"Gailingen am Hochrhein";"19,8"
"08117023";"Gammelshausen";"11,0"
"08437031";"Gammertingen, Stadt";"14,8"
"08115015";"Gärtringen";"17,2"
"08115016";"Gäufelden";"15,9"
"08235029";"Gechingen";"11,0"
"08327018";"Geisingen, Stadt";"13,2"
"08117024";"Geislingen an der Steige, Stadt";"32,5"
"08417022";"Geislingen, Stadt";"8,4"
"08125034";"Gemmingen";"15,4"
"08118018";"Gemmrigheim";"21,1"
"08317034";"Gengenbach, Stadt";"14,5"
"08127032";"Gerabronn, Stadt";"15,0"
"08118019";"Gerlingen, Stadt";"17,2"
"08216017";"Gernsbach, Stadt";"17,6"
"08135015";"Gerstetten";"11,3"
"08135016";"Giengen an der Brenz, Stadt";"22,9"
"08117025";"Gingen an der Fils";"13,5"
"08237030";"Glatten";"10,5"
"08315041";"Glottertal";"12,0"
"08136024";"Göggingen";"5,0"
"08415027";"Gomadingen";"6,1"
"08416015";"Gomaringen";"12,2"
"08215025";"Gondelsheim";"15,8"
"08117026";"Göppingen, Stadt";"24,6"
"08337038";"Görwihl";"8,8"
"08327019";"Gosheim";"16,5"
"08315043";"Gottenheim";"21,2"
"08335028";"Gottmadingen";"17,0"
"08215099";"Graben-Neudorf";"14,1"
"08415028";"Grabenstetten";"10,1"
"08115054";"Grafenau";"14,9"
"08415029";"Grafenberg";"11,0"
"08337039";"Grafenhausen";"20,2"
"08336105";"Grenzach-Wyhlen";"20,4"
"08425050";"Griesingen";"9,5"
"08237032";"Grömbach";"7,7"
"08116022";"Großbettlingen";"12,0"
"08118021";"Großbottwar, Stadt";"15,4"
"08417023";"Grosselfingen";"8,6"
"08119024";"Großerlach";"13,0"
"08128045";"Großrinderfeld";"4,9"
"08117028";"Gruibingen";"16,5"
"08425052";"Grundsheim";"2,5"
"08436039";"Grünkraut";"9,6"
"08128047";"Grünsfeld, Stadt";"8,1"
"08136027";"Gschwend";"6,6"
"08436040";"Guggenhausen";"5,2"
"08125038";"Güglingen, Stadt";"24,9"
"08315047";"Gundelfingen";"13,5"
"08125039";"Gundelsheim, Stadt";"13,4"
"08327020";"Gunningen";"8,9"
"08317039";"Gutach (Schwarzwaldbahn)";"9,2"
"08316014";"Gutach im Breisgau";"10,7"
"08326020";"Gütenbach";"9,9"
"08426135";"Gutenzell-Hürbel";"3,3"
"08336106";"Häg-Ehrsberg";"4,2"
"08435018";"Hagnau am Bodensee";"16,3"
"08417025";"Haigerloch, Stadt";"12,0"
"08235032";"Haiterbach, Stadt";"20,7"
"08215029";"Hambrücken";"9,5"
"08225032";"Hardheim";"13,3"
"08325024";"Hardt";"3,7"
"08125111";"Hardthausen am Kocher";"14,6"
"08315048";"Hartheim am Rhein";"13,2"
"08336034";"Hasel";"10,2"
"08317040";"Haslach im Kinzigtal, Stadt";"11,4"
"08225033";"Haßmersheim";"14,1"
"08117029";"Hattenhofen";"9,5"
"08317041";"Hausach, Stadt";"15,2"
"08425055";"Hausen am Bussen";"3,6"
"08417029";"Hausen am Tann";"16,3"
"08336036";"Hausen im Wiesental";"15,2"
"08327023";"Hausen ob Verena";"8,3"
"08337045";"Häusern";"20,4"
"08415034";"Hayingen, Stadt";"7,6"
"08417031";"Hechingen, Stadt";"19,3"
"08226027";"Heddesbach";"10,9"
"08226028";"Heddesheim";"13,8"
"08221000";"Heidelberg, Stadt";"21,8"
"08135019";"Heidenheim an der Brenz, Stadt";"26,6"
"08121000";"Heilbronn, Universitätsstadt";"30,7"
"08435020";"Heiligenberg";"10,0"
"08226029";"Heiligkreuzsteinach";"11,9"
"08236025";"Heimsheim, Stadt";"20,2"
"08117030";"Heiningen";"14,0"
"08315050";"Heitersheim, Stadt";"17,5"
"08226106";"Helmstadt-Bargen";"10,1"
"08118027";"Hemmingen";"18,1"
"08226031";"Hemsbach, Stadt";"13,4"
"08437044";"Herbertingen";"10,3"
"08316017";"Herbolzheim, Stadt";"14,8"
"08135020";"Herbrechtingen, Stadt";"14,8"
"08437124";"Herdwangen-Schönach";"7,4"
"08135021";"Hermaringen";"9,8"
"08425139";"Heroldstatt";"8,9"
"08115021";"Herrenberg, Stadt";"17,4"
"08337049";"Herrischried";"13,8"
"08118028";"Hessigheim";"14,8"
"08437047";"Hettingen, Stadt";"6,8"
"08136028";"Heubach, Stadt";"17,0"
"08136029";"Heuchlingen";"5,1"
