year,region_code,region_label,series,migration_status,detail,value_thousand
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,6
2021,08215KRSI,"Karlsruhe, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,50
2021,08215KRSI,"Karlsruhe, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08215KRSI,"Karlsruhe, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,36
2021,08215KRSI,"Karlsruhe, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,11
2021,08215KRSI,"Karlsruhe, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,Insgesamt,Insgesamt,53
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,Insgesamt,geschieden,21
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,Insgesamt,ledig,109
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,Insgesamt,verheiratet,126
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,Insgesamt,verwitwet,21
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,mit Migrationshintergrund,Insgesamt,103
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,mit Migrationshintergrund,geschieden,7
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,mit Migrationshintergrund,ledig,49
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,mit Migrationshintergrund,verheiratet,44
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,27
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
