year,region_code,region_label,migration_status,age_group,value_thousand
2021,08215KRSI,"Karlsruhe, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,14
2021,08215KRSI,"Karlsruhe, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,18
2021,08215KRSI,"Karlsruhe, Landkreis",mit Migrationshintergrund,Insgesamt,148
2021,08215KRSI,"Karlsruhe, Landkreis",mit Migrationshintergrund,unter 15 Jahre,28
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,Insgesamt,15 bis unter 25 Jahre,24
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,Insgesamt,25 bis unter 35 Jahre,34
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,Insgesamt,35 bis unter 45 Jahre,34
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,Insgesamt,45 bis unter 55 Jahre,37
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,Insgesamt,55 bis unter 65 Jahre,47
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,Insgesamt,65 Jahre und mehr,62
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,Insgesamt,Insgesamt,53
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,Insgesamt,unter 15 Jahre,38
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,mit Migrationshintergrund,15 bis unter 25 Jahre,13
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,mit Migrationshintergrund,25 bis unter 35 Jahre,17
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,mit Migrationshintergrund,35 bis unter 45 Jahre,16
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,mit Migrationshintergrund,45 bis unter 55 Jahre,16
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,mit Migrationshintergrund,55 bis unter 65 Jahre,12
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,mit Migrationshintergrund,65 Jahre und mehr,10
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,mit Migrationshintergrund,Insgesamt,103
2021,08217KRSI,Landkreis Rastatt und Stadtkreis Baden-Baden,mit Migrationshintergrund,unter 15 Jahre,20
2021,08221KRSI,"Heidelberg, Stadtkreis",Insgesamt,15 bis unter 25 Jahre,25
2021,08221KRSI,"Heidelberg, Stadtkreis",Insgesamt,25 bis unter 35 Jahre,27
2021,08221KRSI,"Heidelberg, Stadtkreis",Insgesamt,35 bis unter 45 Jahre,18
2021,08221KRSI,"Heidelberg, Stadtkreis",Insgesamt,45 bis unter 55 Jahre,18
2021,08221KRSI,"Heidelberg, Stadtkreis",Insgesamt,55 bis unter 65 Jahre,17
2021,08221KRSI,"Heidelberg, Stadtkreis",Insgesamt,65 Jahre und mehr,22
2021,08221KRSI,"Heidelberg, Stadtkreis",Insgesamt,Insgesamt,146
2021,08221KRSI,"Heidelberg, Stadtkreis",Insgesamt,unter 15 Jahre,18
2021,08221KRSI,"Heidelberg, Stadtkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,10
2021,08221KRSI,"Heidelberg, Stadtkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,12
2021,08221KRSI,"Heidelberg, Stadtkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,7
2021,08221KRSI,"Heidelberg, Stadtkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,7
2021,08221KRSI,"Heidelberg, Stadtkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,/
2021,08221KRSI,"Heidelberg, Stadtkreis",mit Migrationshintergrund,65 Jahre und mehr,6
2021,08221KRSI,"Heidelberg, Stadtkreis",mit Migrationshintergrund,Insgesamt,54
2021,08221KRSI,"Heidelberg, Stadtkreis",mit Migrationshintergrund,unter 15 Jahre,7
2021,08222KRSI,"Mannheim, Stadtkreis",Insgesamt,15 bis unter 25 Jahre,38
2021,08222KRSI,"Mannheim, Stadtkreis",Insgesamt,25 bis unter 35 Jahre,48
2021,08222KRSI,"Mannheim, Stadtkreis",Insgesamt,35 bis unter 45 Jahre,42
2021,08222KRSI,"Mannheim, Stadtkreis",Insgesamt,45 bis unter 55 Jahre,41
